Region_ID,Name,Vertex_Count,Center_X,Center_Y,Center_Z,Extent_X,Extent_Y,Extent_Z,Approx_Area_mm2
104,Left Region 104,23,24.299797306890074,32.525797968325406,37.068417424741,6.2398223876953125,7.32823371887207,7.401714324951172,2.3000000000000003
105,Left Region 105,13,22.907057248629055,22.36965957054725,44.53160007183369,3.712850570678711,7.608985900878906,5.397670745849609,1.3
106,Left Region 106,11,22.043432582508434,29.93401354009455,50.39470880681818,3.7744922637939453,8.519632339477539,11.403877258300781,1.1
107,Left Region 107,20,11.245342254638672,34.54766025543213,55.09048576354981,14.067647933959961,10.462984085083008,7.858600616455078,2.0
108,Left Region 108,23,5.607654820317808,18.297521549722422,48.95741189044455,4.694084644317627,15.947798728942871,10.544239044189453,2.3000000000000003
109,Left Region 109,18,9.457232475280762,11.434144814809164,41.02959166632758,4.829900741577148,7.737236976623535,6.630943298339844,1.8
110,Left Region 110,15,10.14679381052653,4.568728995323181,42.64845555623372,3.189912796020508,6.733655214309692,6.645500183105469,1.5
111,Left Region 111,14,6.1997454677309305,7.244769845690046,50.073648180280415,3.9215595722198486,9.195984601974487,9.860332489013672,1.4000000000000001
112,Left Region 112,23,5.2848354733508565,17.422665056974992,60.1717701787534,5.043891191482544,17.494811058044434,12.899269104003906,2.3000000000000003
113,Left Region 113,26,13.023630875807543,23.846355218153732,59.84815069345328,14.532448768615723,10.86410140991211,8.723274230957031,2.6
114,Left Region 114,11,23.176917856389824,21.426879362626508,55.029819835316054,3.3295745849609375,8.140190124511719,10.525138854980469,1.1
115,Left Region 115,17,24.19826810500201,12.587965628680061,48.87618188297047,4.049434661865234,8.022527694702148,5.553539276123047,1.7000000000000002
116,Left Region 116,15,24.398817825317384,5.431275288263957,50.69179916381836,3.4097042083740234,6.528305768966675,5.754447937011719,1.5
117,Left Region 117,17,22.794848498176126,13.041551169227152,57.67880630493164,2.869781494140625,10.222882270812988,9.080951690673828,1.7000000000000002
118,Left Region 118,38,15.737701805014359,9.459213256835938,65.9433422088623,15.48888635635376,16.386337995529175,7.482479095458984,3.8000000000000003
119,Left Region 119,14,24.67630304609026,4.338563480547497,61.098109654017854,3.1239395141601562,8.503030925989151,13.485126495361328,1.4000000000000001
120,Left Region 120,24,22.282750686009724,-3.899515436962247,62.888359705607094,8.296558380126953,10.247085690498352,14.915626525878906,2.4000000000000004
121,Left Region 121,17,4.305529776741476,5.203008213463952,63.44391183292164,3.9852094650268555,10.88772714138031,14.673774719238281,1.7000000000000002
122,Left Region 122,20,6.401359724998474,-1.8923763640224933,55.179931831359866,4.065927505493164,9.520013332366943,12.452709197998047,2.0
123,Left Region 123,24,8.391781588395437,-5.346135313312213,47.01425997416178,5.488004207611084,8.869245648384094,8.150543212890625,2.4000000000000004
124,Left Region 124,27,8.31865538491143,-3.904109393556913,69.9861525076407,11.694845199584961,14.98058271408081,9.422344207763672,2.7
125,Left Region 125,22,27.76044819571755,27.509639393199574,42.57054970481179,8.789360046386719,7.077463150024414,9.494476318359375,2.2
126,Left Region 126,30,39.559535853068034,26.695325469970705,40.93007939656575,11.484333038330078,8.58807373046875,17.036907196044922,3.0
127,Left Region 127,15,41.64709625244141,19.36726468404134,49.04624684651693,9.20444107055664,10.945337295532227,11.260879516601562,1.5
128,Left Region 128,24,28.35781192779541,18.968882878621418,47.32100502649943,9.295967102050781,12.127318382263184,7.215576171875,2.4000000000000004
129,Left Region 129,14,38.56045341491699,16.182208265577042,32.50172860281808,6.495929718017578,5.035675048828125,7.892452239990234,1.4000000000000001
